2023-10-27T14:31:34.122  Database calls and statement text by call end time

mrskew --rc=calls.rc --top=0 "C:\Users\berx\Downloads\FREE_ora_53652_SESSION_B.trc"

input files:
	'C:\Users\berx\Downloads\FREE_ora_53652_SESSION_B.trc'

where expression:
	((1) and (1)) and $is_dbcall

group expression:
	sprintf("%27s %10d %10d %10d  %-40.40s %-.46s", $time1, $line, $parse_id, $exec_id, "· "x$dep.$name.(scalar(@bind)?"(".join(",",@bind).")":""), "· "x$dep.$sql)

matched input files:
	'C:\Users\berx\Downloads\FREE_ora_53652_SESSION_B.trc'

matched call names:
	'CLOSE'
	'EXEC'
	'FETCH'
	'PARSE'
	'XCTEND'

                   END-TIMe       LINE   PARSE-ID    EXEC-ID  CALL-NAME(BOUND-VALUES)                  STATEMENT-TEXT                                
 2023-10-26T14:51:28.178807        241        240        241  EXEC                                     select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:51:28.179183        243        240        241  FETCH                                    select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:51:28.180438        245        240        241  FETCH                                    select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:53:21.508651        251        240        241  CLOSE                                    select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:53:21.508712        252        252          0  PARSE                                    select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:53:21.508752        253        252        253  EXEC                                     select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:53:21.508922        255        252        253  FETCH                                    select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:53:21.509508        257        252        253  FETCH                                    select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:53:29.985534        262        252        253  CLOSE                                    select * from SYS_RESERVJRNL_98174            
 2023-10-26T14:53:29.985587        263          0          0  XCTEND                                   #():C:\Users\berx\Downloads\FREE_ora_53652_SES
 2023-10-26T14:53:30.212122        269        269          0  · PARSE                                  · select condition from cdef$ where rowid=:1  
 2023-10-26T14:53:30.212606        277        269        277  · EXEC(00008151.001C.0001)               · select condition from cdef$ where rowid=:1  
 2023-10-26T14:53:30.212672        278        269        277  · FETCH(00008151.001C.0001)              · select condition from cdef$ where rowid=:1  
 2023-10-26T14:53:30.212716        279        269        277  · CLOSE(00008151.001C.0001)              · select condition from cdef$ where rowid=:1  
 2023-10-26T14:53:30.214397        285        285          0  PARSE                                    select capacity from ticketsales where id = 1 
 2023-10-26T14:53:30.214519        286        285        286  EXEC                                     select capacity from ticketsales where id = 1 
 2023-10-26T14:53:30.214636        288        285        286  FETCH                                    select capacity from ticketsales where id = 1 
 2023-10-26T14:53:30.216051        292        285        286  FETCH                                    select capacity from ticketsales where id = 1 
 2023-10-26T14:53:56.550973        297          0          0  XCTEND                                   #():C:\Users\berx\Downloads\FREE_ora_53652_SES
 2023-10-26T14:53:56.551014        298        285        286  CLOSE                                    select capacity from ticketsales where id = 1 
 2023-10-26T14:53:56.551034        299        140        177  CLOSE(,0A000B00150500,"ACTIVE","UPDATE", INSERT INTO "SYS_RESERVJRNL_98174" (ORA_SAGA_I
 2023-10-26T14:53:56.551044        300         69        129  CLOSE(0A000B00150500,1,)                 SELECT NVL(((select NVL(sum(CAPACITY_RESERVED)
 2023-10-26T14:53:56.551054        301          0          0  CLOSE                                    #140660091183528:C:\Users\berx\Downloads\FREE_
-----------------------------------------------------------------------------------------------------------------------------------------------------
TOTAL (63)                                                                                                                                           

0,234 seconds     0 MB/sec



